Name,Type,Page,Page Number,Schematic,PartPin,LocationX,LocationY,Zone,IREF
"TIM4_CH2","OffPage","1:MCU","1","Aircraft","U1A.43","760","90","2D","4"
"TIM4_CH2","OffPage","4:Interface","4","Aircraft","R20.1","270","370","4B","1"
"TIM4_CH3","OffPage","1:MCU","1","Aircraft","U1A.45","760","100","2D","4"
"TIM4_CH3","OffPage","4:Interface","4","Aircraft","R22.1","480","370","3B","1"
"TIM4_CH4","OffPage","1:MCU","1","Aircraft","U1A.46","760","110","2D","4"
"TIM4_CH4","OffPage","4:Interface","4","Aircraft","R24.1","690","370","2B","1"
"U1_TX","OffPage","1:MCU","1","Aircraft","U1A.30","160","120","5D","2"
"U1_TX","OffPage","2:Sensor","2","Aircraft","J3.4","240","610","4A","1"
"U1_RX","OffPage","1:MCU","1","Aircraft","U1A.31","160","130","5D","2"
"U1_RX","OffPage","2:Sensor","2","Aircraft","J3.3","240","600","4A","1"
"SPI1_SCK","OffPage","1:MCU","1","Aircraft","U1A.15","160","80","5D","2"
"SPI1_SCK","OffPage","2:Sensor","2","Aircraft","U2.2,U4.4,U8.6","600","370","2B","1,2"
"SPI1_SCK","OffPage","2:Sensor","2","Aircraft","U2.2,U4.4,U8.6","120","360","5B","1,2"
"SPI1_SCK","OffPage","2:Sensor","2","Aircraft","U2.2,U4.4,U8.6","200","60","4D","1,2"
"SPI1_MISO","OffPage","1:MCU","1","Aircraft","U1A.16","160","90","5D","2"
"SPI1_MISO","OffPage","2:Sensor","2","Aircraft","U2.4,U3.6,U4.5,U8.2","640","80","2D","1,2"
"SPI1_MISO","OffPage","2:Sensor","2","Aircraft","U2.4,U3.6,U4.5,U8.2","600","350","2B","1,2"
"SPI1_MISO","OffPage","2:Sensor","2","Aircraft","U2.4,U3.6,U4.5,U8.2","200","80","4D","1,2"
"SPI1_MISO","OffPage","2:Sensor","2","Aircraft","U2.4,U3.6,U4.5,U8.2","120","380","5B","1,2"
"SPI1_MOSI","OffPage","1:MCU","1","Aircraft","U1A.17","160","100","5D","2"
"SPI1_MOSI","OffPage","2:Sensor","2","Aircraft","U2.3,U3.5,U4.3,U8.5","120","370","5B","1,2"
"SPI1_MOSI","OffPage","2:Sensor","2","Aircraft","U2.3,U3.5,U4.3,U8.5","640","70","2D","1,2"
"SPI1_MOSI","OffPage","2:Sensor","2","Aircraft","U2.3,U3.5,U4.3,U8.5","200","70","4D","1,2"
"SPI1_MOSI","OffPage","2:Sensor","2","Aircraft","U2.3,U3.5,U4.3,U8.5","600","360","2B","1,2"
"U2_TX","OffPage","1:MCU","1","Aircraft","U1A.12","160","50","5D","2"
"U2_TX","OffPage","2:Sensor","2","Aircraft","J2.3","360","600","4A","1"
"U2_RX","OffPage","1:MCU","1","Aircraft","U1A.13","160","60","5D","2"
"U2_RX","OffPage","2:Sensor","2","Aircraft","J2.2","360","610","4A","1"
"ICM20602_INT","OffPage","1:MCU","1","Aircraft","U1A.10","160","30","5D","2"
"ICM20602_INT","OffPage","2:Sensor","2","Aircraft","U2.6","200","90","4D","1"
"ICM20602_CS","OffPage","1:MCU","1","Aircraft","U1A.11","160","40","5D","2"
"ICM20602_CS","OffPage","2:Sensor","2","Aircraft","U2.5","200","50","4D","1"
"DRDY","OffPage","1:MCU","1","Aircraft","U1A.18","760","30","2D","2"
"DRDY","OffPage","2:Sensor","2","Aircraft","U3.10","640","90","2D","1"
"AK8975_CS","OffPage","1:MCU","1","Aircraft","U1A.19","760","40","2D","2"
"AK8975_CS","OffPage","2:Sensor","2","Aircraft","U3.2","640","50","2D","1"
"SPL06_CS","OffPage","1:MCU","1","Aircraft","U1A.32","160","140","5D","2"
"SPL06_CS","OffPage","2:Sensor","2","Aircraft","U4.2","120","340","5C","1"
"FLASH_CS","OffPage","1:MCU","1","Aircraft","U1A.38","160","160","5D","2"
"FLASH_CS","OffPage","2:Sensor","2","Aircraft","R27.2,U8.1","600","340","2C","1"
"Power_Measure","OffPage","1:MCU","1","Aircraft","U1A.14","160","70","5D","3"
"Power_Measure","OffPage","3:Power","3","Aircraft","C39.1,R30.2","840","490","1B","1"
"RGB_R","OffPage","1:MCU","1","Aircraft","U1A.39","760","50","2D","4"
"RGB_R","OffPage","4:Interface","4","Aircraft","R14.1","510","130","3D","1"
"RGB_G","OffPage","1:MCU","1","Aircraft","U1A.40","760","60","2D","4"
"RGB_G","OffPage","4:Interface","4","Aircraft","R12.1","360","130","4D","1"
"RGB_B","OffPage","1:MCU","1","Aircraft","U1A.41","760","70","2D","4"
"RGB_B","OffPage","4:Interface","4","Aircraft","R16.1","160","130","5D","1"
"NRF_CE","OffPage","1:MCU","1","Aircraft","U1A.21","760","120","2D","3"
"NRF_CE","OffPage","3:Power","3","Aircraft","U5.1","190","50","4D","1"
"SPI11_SCK","OffPage","2:Sensor","2","Aircraft","U3.4","640","60","2D","Property Not Present"
"SWDIO","OffPage","1:MCU","1","Aircraft","U1A.34","760","230","2C","4"
"SWDIO","OffPage","4:Interface","4","Aircraft","J4.1","310","580","4A","1"
"SWCLK","OffPage","1:MCU","1","Aircraft","U1A.37","760","240","2C","4"
"SWCLK","OffPage","4:Interface","4","Aircraft","J4.3","310","600","4A","1"
"SPI2_MOSI","OffPage","1:MCU","1","Aircraft","U1A.28","760","170","2C","3"
"SPI2_MOSI","OffPage","3:Power","3","Aircraft","U5.4","190","90","4D","1"
"SPI2_MISO","OffPage","1:MCU","1","Aircraft","U1A.27","760","160","2D","3"
"SPI2_MISO","OffPage","3:Power","3","Aircraft","U5.5","190","100","4D","1"
"SPI2_SCK","OffPage","1:MCU","1","Aircraft","U1A.26","760","150","2D","3"
"SPI2_SCK","OffPage","3:Power","3","Aircraft","U5.3","190","80","4D","1"
"NRF_CS","OffPage","1:MCU","1","Aircraft","U1A.25","760","140","2D","3"
"NRF_CS","OffPage","3:Power","3","Aircraft","U5.2","190","70","4D","1"
"NRF_INT","OffPage","1:MCU","1","Aircraft","U1A.22","760","130","2D","3"
"NRF_INT","OffPage","3:Power","3","Aircraft","U5.6","190","110","4D","1"
"TIM4_CH1","OffPage","1:MCU","1","Aircraft","U1A.42","760","80","2D","4"
"TIM4_CH1","OffPage","4:Interface","4","Aircraft","R18.1","60","370","5B","1"
